metric,precision,recall,f1_score
rouge1,0.65,0.0962962962962963,0.16774193548387095
rouge2,0.05263157894736842,0.007462686567164179,0.013071895424836602
rougeL,0.35,0.05185185185185185,0.09032258064516129
